,Rank,Hotel Name,Rate,Site Link
123,124,PodShare,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d3382253-Reviews-PodShare-Los_Angeles_California.html
124,125,Rodeway Inn & Suites Pacific Coast Highway,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77157-Reviews-Rodeway_Inn_Suites_Pacific_Coast_Highway-Los_Angeles_California.html
125,126,Best Western Canoga Park Motor Inn,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76325-Reviews-Best_Western_Canoga_Park_Motor_Inn-Los_Angeles_California.html
126,127,Hyatt House LA - University Medical Center,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d21343089-Reviews-Hyatt_House_LA_University_Medical_Center-Los_Angeles_California.html
127,128,Best Western Plus Carriage Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82148-Reviews-Best_Western_Plus_Carriage_Inn-Los_Angeles_California.html
128,129,Best Western Burbank Airport Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1657336-Reviews-Best_Western_Burbank_Airport_Inn-Los_Angeles_California.html
129,130,Courtyard Los Angeles Woodland Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82682-Reviews-Courtyard_Los_Angeles_Woodland_Hills-Los_Angeles_California.html
130,131,Trylon Hotel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1633382-Reviews-Trylon_Hotel-Los_Angeles_California.html
131,132,Luxe City Center Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77787-Reviews-Luxe_City_Center_Hotel-Los_Angeles_California.html
132,133,Friendship Motor Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d3386634-Reviews-Friendship_Motor_Inn-Los_Angeles_California.html
133,134,Villa Brasil Motel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d657068-Reviews-Villa_Brasil_Motel-Los_Angeles_California.html
134,135,Comfort Inn Near Old Town Pasadena in Eagle Rock Los Angeles,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76793-Reviews-Comfort_Inn_Near_Old_Town_Pasadena_in_Eagle_Rock_Los_Angeles-Los_Angeles_California.html
135,136,Super 8 by Wyndham Los Angeles-Culver City Area,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d248239-Reviews-Super_8_by_Wyndham_Los_Angeles_Culver_City_Area-Los_Angeles_California.html
136,137,Courtyard Los Angeles Century City/Beverly Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119483-Reviews-Courtyard_Los_Angeles_Century_City_Beverly_Hills-Los_Angeles_California.html
137,138,Best Western Hollywood Plaza Inn-Hollywood Walk of Fame Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77247-Reviews-Best_Western_Hollywood_Plaza_Inn_Hollywood_Walk_of_Fame_Hotel-Los_Angeles_California.html
138,139,Sea Rock Inn,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d83988-Reviews-Sea_Rock_Inn-Los_Angeles_California.html
139,140,Hollywood Downtowner Inn,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d268977-Reviews-Hollywood_Downtowner_Inn-Los_Angeles_California.html
140,141,Wilshire Motel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1528623-Reviews-Wilshire_Motel-Los_Angeles_California.html
